label,text,token
0,wish she could have told me herself    nicolescherzinger  onelove  myfav  myqueen  heavy_black_heart   heavy_black_heart   ,"['wish', 'could', 'told', 'nicolescherzinger', 'onelove', 'myfav', 'myqueen', 'heavy_black_heart', 'heavy_black_heart']"
0,the rain has made extra extra lazy smiling_face_with_open_mouth_and_cold_sweat ,"['rain', 'made', 'extra', 'extra', 'lazy', 'smiling_face_with_open_mouth_and_cold_sweat']"
0,"i was doing great with this summary of my year until i got to june 27th, and the weekend of  's birthday   rivertrip  groupchat","['great', 'summary', 'year', 'got', 'june', '27th', 'weekend', 'birthday', 'rivertrip', 'groupchat']"
0,"see, that might show up on a background check, and you'd be denied its a catch 22 we have the right to self protection ","['see', 'might', 'show', 'background', 'check', 'denied', 'catch', '22', 'right', 'self', 'protection']"
1,smh never knew something could be 80  halal    been muslim my whole life but somehow i've learned something new i guess ,"['smh', 'never', 'knew', 'something', 'could', '80', 'halal', 'muslim', 'whole', 'life', 'somehow', 'learned', 'something', 'new', 'guess']"
1,a wonderful day of starting work at 6am ,"['wonderful', 'day', 'starting', 'work', '6am']"
0,i feel like whole life is about waiting waiting and waiting,"['feel', 'like', 'whole', 'life', 'waiting', 'waiting', 'waiting']"
0, lol  grinning_face_with_smiling_eyes    will let my kids know when they get up in the morning   thanks for the tip,"['lol', 'grinning_face_with_smiling_eyes', 'let', 'kid', 'know', 'get', 'morning', 'thanks', 'tip']"
1," you guys sure screwed this up royally  i'm happy for lester, the brain trust over there sucks   nicejob   lestertochicago","['guy', 'sure', 'screwed', 'royally', 'happy', 'lester', 'brain', 'trust', 'suck', 'nicejob', 'lestertochicago']"
0," aussie  gunman  was   on terrorist  watch  list, pm  says  sydney   the gunman who took 17 hostages in sydney    ","['aussie', 'gunman', 'terrorist', 'watch', 'list', 'pm', 'say', 'sydney', 'gunman', 'took', '17', 'hostage', 'sydney']"
1,"twig is now ""sprig"" 3 sec limit on new social video platform   techtalk  editorspick  sillyvine  tr    ","['twig', 'sprig', '3', 'sec', 'limit', 'new', 'social', 'video', 'platform', 'techtalk', 'editorspick', 'sillyvine', 'tr']"
0, and what will that achieve? seriously?to be fired all the guys who had the balls to call them out are gone  ,"['achieve', 'seriously', 'fired', 'guy', 'ball', 'call', 'gone']"
1,yay for another work at 4am day  neutral_face  ,"['yay', 'another', 'work', '4am', 'day', 'neutral_face']"
1,physical therapy at 8 am is just what i want to be doing with my friday   iwanttosleep,"['physical', 'therapy', '8', 'want', 'friday', 'iwanttosleep']"
1,omg  didn't tell  he was in town  face_screaming_in_fear   truefriend ,"['omg', 'tell', 'town', 'face_screaming_in_fear', 'truefriend']"
1,"i thought what we had was real, how could you be fine? coz i'm not fine at all oh wait  fixed the caps lock       laughnow  o ","['thought', 'real', 'could', 'fine', 'coz', 'fine', 'oh', 'wait', 'fixed', 'cap', 'lock', 'laughnow']"
1,"hahahaha!!  hypocrisy  ""mt  katie hopkins calls russell brand a bully            ","['hahahaha', 'hypocrisy', 'mt', 'katie', 'hopkins', 'call', 'russell', 'brand', 'bully']"
1,that moment when you have so much stuff to do but you open       productivity   tumblr,"['moment', 'much', 'stuff', 'open', 'productivity', 'tumblr']"
0,lol! i m enjoying it two_women_holding_hands   talks  crazyness  sheneverleft  sleepy!!  white_smiling_face ,"['lol', 'enjoying', 'two_women_holding_hands', 'talk', 'crazyness', 'sheneverleft', 'sleepy', 'white_smiling_face']"
1,luv this ,['luv']
1,"  when some naturopaths sell ""aromatic"" herbs the way apothecaries sell noxious poisons   naturopath  apothecary  herb  poison","['naturopath', 'sell', 'aromatic', 'herb', 'way', 'apothecary', 'sell', 'noxious', 'poison', 'naturopath', 'apothecary', 'herb', 'poison']"
0, goal of the season 1970  goal 1  jon sammels  arsenal vs  manutd   ,"['goal', 'season', '1970', 'goal', '1', 'jon', 'sammels', 'arsenal', 'v', 'manutd']"
0,"really, what else can a fish be besides a fish?    ","['really', 'else', 'fish', 'besides', 'fish']"
0, i think it's a safe bet it won't fit the crime ,"['think', 'safe', 'bet', 'fit', 'crime']"
1,it will be impossible for me to be late if i start to dress up right now   studing  university  lazy ,"['impossible', 'late', 'start', 'dress', 'right', 'studing', 'university', 'lazy']"
1,when you're already running late and then your car won't start      fantasticfriday ,"['already', 'running', 'late', 'car', 'start', 'fantasticfriday']"
1,i decided to become my own boss to have more free time   now i have no time left whatsoever  ,"['decided', 'become', 'bos', 'free', 'time', 'time', 'left', 'whatsoever']"
0,loyalty vs  self protection loyalty vs  self protection loyalty vs  self protection loyalty vs  self protection,"['loyalty', 'v', 'self', 'protection', 'loyalty', 'v', 'self', 'protection', 'loyalty', 'v', 'self', 'protection', 'loyalty', 'v', 'self', 'protection']"
0,american kids starting playing and now i'm super missing  summer2k14  kennychesney,"['american', 'kid', 'starting', 'playing', 'super', 'missing', 'summer2k14', 'kennychesney']"
0, don't know how monsanto   among 100 most sustainable cos in the world sure all parameters are measured net positive?,"['know', 'monsanto', 'among', '100', 'sustainable', 'co', 'world', 'sure', 'parameter', 'measured', 'net', 'positive']"
0,"none of the big, disruptive innovations in our lives have come out of brainstorming   bruce nussbaum ","['none', 'big', 'disruptive', 'innovation', 'life', 'come', 'brainstorming', 'bruce', 'nussbaum']"
0,that way people get to understand disabilities and not stare at us funny wen we out and about idpwd disability,"['way', 'people', 'get', 'understand', 'disability', 'stare', 'u', 'funny', 'wen', 'idpwd', 'disability']"
1,  shit! i better shut my stupid girly mouth because im so concerned about what men might think of me  ,"['shit', 'better', 'shut', 'stupid', 'girly', 'mouth', 'im', 'concerned', 'men', 'might', 'think']"
0,why does my tongue feel it necessary to try and touch the high speed tool my dentist has put in my mouth?,"['tongue', 'feel', 'necessary', 'try', 'touch', 'high', 'speed', 'tool', 'dentist', 'put', 'mouth']"
0,tell me the  quintessential  aussie now isn't a govt paid job   then have the hyde to buy overseas online and pay no gst   mmm  sadbuttrue,"['tell', 'quintessential', 'aussie', 'govt', 'paid', 'job', 'hyde', 'buy', 'overseas', 'online', 'pay', 'gst', 'mmm', 'sadbuttrue']"
0," ""dirk's got a lot of moves i'm trying to steal ""   kevin durant on his one legged fadeway","['dirk', 'got', 'lot', 'move', 'trying', 'steal', 'kevin', 'durant', 'one', 'legged', 'fadeway']"
1,about once a yr i get a little nutty and reach for the orange marmalade   livingontheedge  ,"['yr', 'get', 'little', 'nutty', 'reach', 'orange', 'marmalade', 'livingontheedge']"
1,"rogers, that smile just so accurately captures my reaction when i receive an extra high phone bill!   ","['rogers', 'smile', 'accurately', 'capture', 'reaction', 'receive', 'extra', 'high', 'phone', 'bill']"
1,"whatever happened to the guano apes? did they ever make it ""big in japan""? ","['whatever', 'happened', 'guano', 'ape', 'ever', 'make', 'big', 'japan']"
0,bmw i8 sexy az hell but too slow for the dinero 12 4 in the quarter mile slow  fan of the design feeling the    ,"['bmw', 'i8', 'sexy', 'az', 'hell', 'slow', 'dinero', '12', '4', 'quarter', 'mile', 'slow', 'fan', 'design', 'feeling']"
0,let your humility guard your pride     vanity shouldn't be allowed to be with such a delicate thing ,"['let', 'humility', 'guard', 'pride', 'vanity', 'allowed', 'delicate', 'thing']"
0,"whenever i get sad about how things are going now, i just think of how awesome the future looks to be   secondsemester  drumcorps  college","['whenever', 'get', 'sad', 'thing', 'going', 'think', 'awesome', 'future', 'look', 'secondsemester', 'drumcorps', 'college']"
1,i asked god to protect me from my enemies    shortly after i started losing friends  flushed_face  hundred_points_symbol   or  naah,"['asked', 'god', 'protect', 'enemy', 'shortly', 'started', 'losing', 'friend', 'flushed_face', 'hundred_points_symbol', 'naah']"
1,just delivered   cronuts to  hmmm  its for a customer i hope!!! ,"['delivered', 'cronuts', 'hmmm', 'customer', 'hope']"
1,such     you still have to  praisehim  ),"['still', 'praisehim']"
0,hey heyy!!!i    wanna be a rockstar  vscocam  hero  vsocam  hero  spiderman ,"['hey', 'heyy', 'wanna', 'rockstar', 'vscocam', 'hero', 'vsocam', 'hero', 'spiderman']"
1,    awk moment when i tweeted first  fakefan !!!!! ,"['awk', 'moment', 'tweeted', 'first', 'fakefan']"
0,waa mockingjay part 2 tahon depan meh 20 nov 2015 wtvr night at the museum 3  mustwatchb4decemberendssobssobs ,"['waa', 'mockingjay', 'part', '2', 'tahon', 'depan', 'meh', '20', 'nov', '2015', 'wtvr', 'night', 'museum', '3', 'mustwatchb4decemberendssobssobs']"
1,      nice to see the ambulance service is so important to our mps ,"['nice', 'see', 'ambulance', 'service', 'important', 'mp']"
1,i love finals week!  justkidding   stressed,"['love', 'final', 'week', 'justkidding', 'stressed']"
0," fucking copycat, although you're name is mint and the act we share it is probably a cause for alcohol filled celebration!!!","['fucking', 'copycat', 'although', 'name', 'mint', 'act', 'share', 'probably', 'cause', 'alcohol', 'filled', 'celebration']"
0,literally cried when i woke up because i know what this day has in store for me  thestartoftechweek  ready  justshootmeknow,"['literally', 'cried', 'woke', 'know', 'day', 'store', 'thestartoftechweek', 'ready', 'justshootmeknow']"
0, because i disagree w  you? trading three picks for one when you have glaring holes at numerous positions is ass backwards ,"['disagree', 'w', 'trading', 'three', 'pick', 'one', 'glaring', 'hole', 'numerous', 'position', 'as', 'backwards']"
1,    oh that makes it all better!!! ,"['oh', 'make', 'better']"
0,why didn't i start watching the tudors earlier?  iloveit,"['start', 'watching', 'tudor', 'earlier', 'iloveit']"
0,   christmas  gift get started at making money in social media at ,"['christmas', 'gift', 'get', 'started', 'making', 'money', 'social', 'medium']"
0,"don't knw how to react everytime sum1 says me being in a wheelchair ""inspires"" them! im just living they same you are dude","['knw', 'react', 'everytime', 'sum1', 'say', 'wheelchair', 'inspires', 'im', 'living', 'dude']"
0,get aht a tahn! the made in pgh gift guide  via ,"['get', 'aht', 'tahn', 'made', 'pgh', 'gift', 'guide', 'via']"
0,on my lunch break so sleepy sleeping_face ,"['lunch', 'break', 'sleepy', 'sleeping_face']"
1, work trains thegrind london business myhappyface ,"['work', 'train', 'thegrind', 'london', 'business', 'myhappyface']"
1,"dude said i better think hard , so he can take me to cheddars lmao ! ","['dude', 'said', 'better', 'think', 'hard', 'take', 'cheddar', 'lmao']"
0,my  christmas ritual   part one   howthegrinchstolechristmas ,"['christmas', 'ritual', 'part', 'one', 'howthegrinchstolechristmas']"
0,overcast at creso   todayimloving  beachwalk  crescenthead ,"['overcast', 'creso', 'todayimloving', 'beachwalk', 'crescenthead']"
0,2014 can't end fast enough! stupid dead battery ,"['2014', 'end', 'fast', 'enough', 'stupid', 'dead', 'battery']"
1,not even 8am and i can already see this is going to be a wonderful day   needmorecoffee,"['even', '8am', 'already', 'see', 'going', 'wonderful', 'day', 'needmorecoffee']"
1,"i have an idea, how about 911 operators don't ever describe race?  and police have to wear color blind glasses?  ","['idea', '911', 'operator', 'ever', 'describe', 'race', 'police', 'wear', 'color', 'blind', 'glass']"
1,"  but russell is a good christian fella, he wouldn't do that  ","['russell', 'good', 'christian', 'fella']"
0,"apparently my youth group thinks ""are you kidding me?"" is my default expression  or ""nomal face ""  areyoukiddingme ","['apparently', 'youth', 'group', 'think', 'kidding', 'default', 'expression', 'nomal', 'face', 'areyoukiddingme']"
1,"   psa hey jay, i tuned in when u said ""why all the cocaine talk today    after tweeting coke joke saw it's escobar's 65th ","['psa', 'hey', 'jay', 'tuned', 'u', 'said', 'cocaine', 'talk', 'today', 'tweeting', 'coke', 'joke', 'saw', 'escobar', '65th']"
0,interviewed a turkey   here's what he had to say   thanksgiving,"['interviewed', 'turkey', 'say', 'thanksgiving']"
1,planned on an early night last night   oh yaa course that happened     gotinterupted,"['planned', 'early', 'night', 'last', 'night', 'oh', 'yaa', 'course', 'happened', 'gotinterupted']"
1, your last retweet though ,"['last', 'retweet', 'though']"
1,2v4 s d matches are just so fun    ,"['2v4', 'match', 'fun']"
1,i just loveee bein short and having my sweatpants go all the way under my feet its so fun     pile_of_poo ,"['loveee', 'bein', 'short', 'sweatpants', 'go', 'way', 'foot', 'fun', 'pile_of_poo']"
1,i love waking up at 8 am on a saturday morning after going to bed at midnight ,"['love', 'waking', '8', 'saturday', 'morning', 'going', 'bed', 'midnight']"
1,a day where  ruled  i got followed by  wht a  day!! lollllll ,"['day', 'ruled', 'got', 'followed', 'wht', 'day', 'lollllll']"
0,jusuf nurkic  bulls rt  he clearly has a lot of talent  kind of amazing that denver got him and gary harris for mcdermott ,"['jusuf', 'nurkic', 'bull', 'rt', 'clearly', 'lot', 'talent', 'kind', 'amazing', 'denver', 'got', 'gary', 'harris', 'mcdermott']"
0,i don't even have progress on my thesis tas preparations for our event this thursday  weary_face ,"['even', 'progress', 'thesis', 'ta', 'preparation', 'event', 'thursday', 'weary_face']"
1,gym and i are gonna have a reeeaaalll nice date tomorrow    imgoingtostruggle  vsfs2014,"['gym', 'gonna', 'reeeaaalll', 'nice', 'date', 'tomorrow', 'imgoingtostruggle', 'vsfs2014']"
0,sony pulled a movie bc we're scared of a country that can't even keep its lights on at night? even motel 6 can do better than that   zing,"['sony', 'pulled', 'movie', 'bc', 'scared', 'country', 'even', 'keep', 'light', 'night', 'even', 'motel', '6', 'better', 'zing']"
0,had a nice 3 hour nap  picking up my chinese take out and set to watch  guardiansofthegalaxy  i added water chestnuts to my dinner,"['nice', '3', 'hour', 'nap', 'picking', 'chinese', 'take', 'set', 'watch', 'guardiansofthegalaxy', 'added', 'water', 'chestnut', 'dinner']"
0,  the bears are probably the worst franchise in football at the moment ,"['bear', 'probably', 'worst', 'franchise', 'football', 'moment']"
1,i'm so pissed off at chicago  like the people at the airport ruined so many peoples chances of ever meeting the boys  expressionless_face  expressionless_face  expressionless_face   way to go ,"['pissed', 'chicago', 'like', 'people', 'airport', 'ruined', 'many', 'people', 'chance', 'ever', 'meeting', 'boy', 'expressionless_face', 'expressionless_face', 'expressionless_face', 'way', 'go']"
0,hell has frozen over  literally   texas2015 ,"['hell', 'frozen', 'literally', 'texas2015']"
1,can you write your name on a paper and take a picture       i can but i'm busy answering this question oh     ,"['write', 'name', 'paper', 'take', 'picture', 'busy', 'answering', 'question', 'oh']"
0,its a marshmallow world in the winter  multiple_musical_notes   getthisoutofmyhead,"['marshmallow', 'world', 'winter', 'multiple_musical_notes', 'getthisoutofmyhead']"
1,taking the bike through rainy and cold dark streets to the dentist  yaaaay   somuchfun ,"['taking', 'bike', 'rainy', 'cold', 'dark', 'street', 'dentist', 'yaaaay', 'somuchfun']"
1,reading about barack obama in the barack  obama plaza  moneygall oh the  ,"['reading', 'barack', 'obama', 'barack', 'obama', 'plaza', 'moneygall', 'oh']"
0,that is the face of a tired man hahahahah,"['face', 'tired', 'man', 'hahahahah']"
1,we want turkey!! ,"['want', 'turkey']"
0, happy to be of some small service  )  ,"['happy', 'small', 'service']"
0,choose your words carefully hurting someone feelings is not the right way to go ,"['choose', 'word', 'carefully', 'hurting', 'someone', 'feeling', 'right', 'way', 'go']"
1,what a joke  thanks for the detailed response and communication with your customers    ,"['joke', 'thanks', 'detailed', 'response', 'communication', 'customer']"
0, asalamoalekum     smiling_face_with_open_mouth  kesay mizaj ? thank you so much  it was posted on 2nd december 2013  already there   smiling_face_with_halo ,"['asalamoalekum', 'smiling_face_with_open_mouth', 'kesay', 'mizaj', 'thank', 'much', 'posted', '2nd', 'december', '2013', 'already', 'smiling_face_with_halo']"
0,feeling artsy tonight   artsy homealone vienna studentlife at b e's apartment ,"['feeling', 'artsy', 'tonight', 'artsy', 'homealone', 'vienna', 'studentlife', 'b', 'e', 'apartment']"
0,"showed mom this picture of me and    says ""this is grunge"" and she goes ""haha!! i love it!""  momgoals ","['showed', 'mom', 'picture', 'say', 'grunge', 'go', 'haha', 'love', 'momgoals']"
0, explains why inter went all calciopoli over juventus   ,"['explains', 'inter', 'went', 'calciopoli', 'juventus']"
0,i pray god comes back in america and saves us all ,"['pray', 'god', 'come', 'back', 'america', 'save', 'u']"
0, libby  lane  appointment   women  bishops  debate   over  the appointment of the reverend libby lane as the    ,"['libby', 'lane', 'appointment', 'woman', 'bishop', 'debate', 'appointment', 'reverend', 'libby', 'lane']"
0,sad that when someone drinks they treat you like shit and won't talk to you ,"['sad', 'someone', 'drink', 'treat', 'like', 'shit', 'talk']"
0,we provide a structure that ensures you will successfully invest in real estate   ,"['provide', 'structure', 'ensures', 'successfully', 'invest', 'real', 'estate']"
0, ask a liberal and he will tell you obama got us out of iraq and won the afghan war   and no one ever died under his watch ,"['ask', 'liberal', 'tell', 'obama', 'got', 'u', 'iraq', 'afghan', 'war', 'one', 'ever', 'died', 'watch']"
1,why am i sick?  looks at other tweets  oh yeah sex      lame,"['sick', 'look', 'tweet', 'oh', 'yeah', 'sex', 'lame']"
1,working a double on 2 hours of sleep here we go let's get it ,"['working', 'double', '2', 'hour', 'sleep', 'go', 'let', 'get']"
1,for those of you that love this time of year   ,"['love', 'time', 'year']"
1,in other news i havent had a good nights sleep in a week  i feel great  ,"['news', 'havent', 'good', 'night', 'sleep', 'week', 'feel', 'great']"
0,the pure  reality of   ,"['pure', 'reality']"
0, diy  change your  mobilecover every day now  enjoy! ,"['diy', 'change', 'mobilecover', 'every', 'day', 'enjoy']"
1,happy 2nd anniversary to me in sgv  happy ot here in client  woohoo  i loooooove my job  super  more years to go!!!!!!!!! ,"['happy', '2nd', 'anniversary', 'sgv', 'happy', 'ot', 'client', 'woohoo', 'loooooove', 'job', 'super', 'year', 'go']"
0," cause of all the things in life this seems to be in  balance   music  medicine,    doctor  superdaylineup","['cause', 'thing', 'life', 'seems', 'balance', 'music', 'medicine', 'doctor', 'superdaylineup']"
0,  i guess that means msm will dig something up to smear barkley now  ferguson,"['guess', 'mean', 'msm', 'dig', 'something', 'smear', 'barkley', 'ferguson']"
0,jimi agbaje is a fine man   in respect to public service what notable landmark has he achieved?  tested jimi    ,"['jimi', 'agbaje', 'fine', 'man', 'respect', 'public', 'service', 'notable', 'landmark', 'achieved', 'tested', 'jimi']"
1, good thing we had enough  whitewine and  christmastrees to survive if needed   chardsohard  fashion   ),"['good', 'thing', 'enough', 'whitewine', 'christmastrees', 'survive', 'needed', 'chardsohard', 'fashion']"
0, why all the delays?  happy,"['delay', 'happy']"
1,"the fun part about 4 am drives in the winter, is no one has cleaned the snow yet ","['fun', 'part', '4', 'drive', 'winter', 'one', 'cleaned', 'snow', 'yet']"
0,i miss the days when all my close friends lived in the same city ,"['miss', 'day', 'close', 'friend', 'lived', 'city']"
1,so it's claimed that 99  of all russian athletes take performance enhancing drugs  there is a surprise ,"['claimed', '99', 'russian', 'athlete', 'take', 'performance', 'enhancing', 'drug', 'surprise']"
0, is that  ?,[]
1,shoutout to my mom for being hella supportive of me ,"['shoutout', 'mom', 'hella', 'supportive']"
1, you may also see flags of isis with him  is this govt and ch nisar don't admit  '(,"['may', 'also', 'see', 'flag', 'isi', 'govt', 'ch', 'nisar', 'admit']"
1, that's funny ,['funny']
0,do you want more period related post or do you like how i post some personal things here on instagram? ,"['want', 'period', 'related', 'post', 'like', 'post', 'personal', 'thing', 'instagram']"
0,  analscreen  exotic exotic brunette gets her little tight butt nailed right on the office desk,"['analscreen', 'exotic', 'exotic', 'brunette', 'get', 'little', 'tight', 'butt', 'nailed', 'right', 'office', 'desk']"
1, what time is the ufc press conference tomorrow with names of numerous fighters getting cut ,"['time', 'ufc', 'press', 'conference', 'tomorrow', 'name', 'numerous', 'fighter', 'getting', 'cut']"
0," terror on high seas     fishing boat, allegedly from  pakistan, blows up at sea        ","['terror', 'high', 'sea', 'fishing', 'boat', 'allegedly', 'pakistan', 'blow', 'sea']"
0, what matters to me is gym holidays work the hell out ,"['matter', 'gym', 'holiday', 'work', 'hell']"
1,i like listening to dads truck drivers tell me about them going to the strip joint and their old lady getting mad at them over it   face_with_tears_of_joy ,"['like', 'listening', 'dad', 'truck', 'driver', 'tell', 'going', 'strip', 'joint', 'old', 'lady', 'getting', 'mad', 'face_with_tears_of_joy']"
0, hate it  go back to the old format please ,"['hate', 'go', 'back', 'old', 'format', 'please']"
0, its a week joke i have with jessica and my niece person_raising_both_hands_in_celebration ,"['week', 'joke', 'jessica', 'niece', 'person_raising_both_hands_in_celebration']"
0, you seriously bought a giant tv to play in the box?,"['seriously', 'bought', 'giant', 'tv', 'play', 'box']"
1,haha who the fuck says that to someone truegentlemen ,"['haha', 'fuck', 'say', 'someone', 'truegentlemen']"
0,if you don't want hall to eventually ask for a trade then hope for consistency in the message  change too much you might as well start over,"['want', 'hall', 'eventually', 'ask', 'trade', 'hope', 'consistency', 'message', 'change', 'much', 'might', 'well', 'start']"
0,"  wow  that  here though, sorry grandpa, we use mac these days  welcometotheworld  neverarguewithfools","['wow', 'though', 'sorry', 'grandpa', 'use', 'mac', 'day', 'welcometotheworld', 'neverarguewithfools']"
0," i liked the first one  never cared enough to watch the sequel(s?)  that said, i will only watch the  reboot because of  chrispratt","['liked', 'first', 'one', 'never', 'cared', 'enough', 'watch', 'sequel', 'said', 'watch', 'reboot', 'chrispratt']"
0, working blues enough vacation days ,"['working', 'blue', 'enough', 'vacation', 'day']"
0," the badger crusade continues  ""gloucestershire badger patrols triggered by illegal trapping fears"" ","['badger', 'crusade', 'continues', 'gloucestershire', 'badger', 'patrol', 'triggered', 'illegal', 'trapping', 'fear']"
0, i also support instantly murdering 12 year olds with fake plastic guns in public parks   ,"['also', 'support', 'instantly', 'murdering', '12', 'year', 'old', 'fake', 'plastic', 'gun', 'public', 'park']"
0,auntie just called and said shes on her way   i better get dressed then  astonished_face  face_with_tears_of_joy  face_with_tears_of_joy ,"['auntie', 'called', 'said', 'shes', 'way', 'better', 'get', 'dressed', 'astonished_face', 'face_with_tears_of_joy', 'face_with_tears_of_joy']"
1,"ahhh 7 a m bedtimes, how i've missed you   examproblems","['ahhh', '7', 'bedtime', 'missed', 'examproblems']"
0,nerd  piccollage having a bit of fun with georgia  nerd chistmas  sillybilly at chilling on my comfy    ,"['nerd', 'piccollage', 'bit', 'fun', 'georgia', 'nerd', 'chistmas', 'sillybilly', 'chilling', 'comfy']"
0, i think it was the hotel owners   ,"['think', 'hotel', 'owner']"
0, one day i want to travel with my bestfriend  earth_globe_asia australia  airplane    done did traveled da world!!   heavy_black_heart  ,"['one', 'day', 'want', 'travel', 'bestfriend', 'earth_globe_asia', 'australia', 'airplane', 'done', 'traveled', 'da', 'world', 'heavy_black_heart']"
1,   again fans come second  thanks again ,"['fan', 'come', 'second', 'thanks']"
0,when you return in kind then so called friends label you as being unkind   ),"['return', 'kind', 'called', 'friend', 'label', 'unkind']"
0,sometimes i just dont understand anything  stubborn ,"['sometimes', 'dont', 'understand', 'anything', 'stubborn']"
0,that was the cutest thing ever  smiling_face_with_heart shaped_eyes  face_throwing_a_kiss ,"['cutest', 'thing', 'ever', 'smiling_face_with_heart', 'shaped_eyes', 'face_throwing_a_kiss']"
1,oh how i love that my ass is too big to fit into my jeans anymore    bigbootybitches,"['oh', 'love', 'as', 'big', 'fit', 'jean', 'anymore', 'bigbootybitches']"
1, doesn't lucky and fortunate mean the same thing?  ,"['lucky', 'fortunate', 'mean', 'thing']"
0,i enjoy stealing my husband hat every once in awhile  smiling_face_with_heart shaped_eyes  face_throwing_a_kiss  flushed_face   heyyall  goodmorning ,"['enjoy', 'stealing', 'husband', 'hat', 'every', 'awhile', 'smiling_face_with_heart', 'shaped_eyes', 'face_throwing_a_kiss', 'flushed_face', 'heyyall', 'goodmorning']"
0,   his tweet in the context of his history is what makes it a clear bait ,"['tweet', 'context', 'history', 'make', 'clear', 'bait']"
0,insanity is doing the same thing twice and expecting different results,"['insanity', 'thing', 'twice', 'expecting', 'different', 'result']"
1,3 hours sleep yay loving life ,"['3', 'hour', 'sleep', 'yay', 'loving', 'life']"
1,"wow, look at you hotshot    isthatajoke","['wow', 'look', 'hotshot', 'isthatajoke']"
